t,daily_cases_obs,ward_obs,icu_obs,daily_deaths_obs,NT,P_0_49,P_50_59,P_60_69,P_70p
74,187.0,572.0,108.0,9.0,9949.0,0.6042780748663101,0.24598930481283424,0.0427807486631016,0.10695187165775401
75,264.0,561.0,112.0,6.0,10452.0,0.6590909090909091,0.12121212121212122,0.07575757575757576,0.14393939393939395
76,227.0,542.0,115.0,13.0,10692.0,0.5770925110132159,0.17180616740088106,0.11013215859030837,0.14096916299559473
77,226.0,541.0,108.0,15.0,10834.0,0.6194690265486725,0.22123893805309736,0.061946902654867256,0.09734513274336283
78,173.0,523.0,105.0,13.0,10773.0,0.7052023121387283,0.1676300578034682,0.09248554913294797,0.03468208092485549
79,223.0,528.0,101.0,16.0,10730.0,0.6816143497757847,0.09417040358744394,0.09417040358744394,0.13004484304932734
80,228.0,516.0,93.0,16.0,10461.0,0.6885964912280702,0.15789473684210525,0.10526315789473684,0.04824561403508772
81,252.0,516.0,92.0,14.0,10171.0,0.6865079365079365,0.12301587301587301,0.1111111111111111,0.07936507936507936
82,288.0,492.0,84.0,12.0,9645.0,0.6597222222222222,0.11805555555555555,0.08333333333333333,0.1388888888888889
83,271.0,470.0,80.0,13.0,9139.0,0.6309963099630996,0.13284132841328414,0.1070110701107011,0.12915129151291513
84,152.0,458.0,78.0,14.0,8832.0,0.625,0.1513157894736842,0.13815789473684212,0.08552631578947369
85,165.0,459.0,72.0,14.0,8814.0,0.7090909090909091,0.13333333333333333,0.07272727272727272,0.08484848484848485
86,219.0,442.0,71.0,12.0,8708.0,0.6027397260273972,0.0776255707762557,0.1415525114155251,0.1780821917808219
87,285.0,444.0,66.0,14.0,8881.0,0.712280701754386,0.17543859649122806,0.08070175438596491,0.031578947368421054
88,304.0,447.0,65.0,13.0,9038.0,0.6776315789473685,0.13486842105263158,0.06907894736842106,0.11842105263157894
89,350.0,463.0,66.0,14.0,9130.0,0.6057142857142858,0.09714285714285714,0.06571428571428571,0.23142857142857143
90,257.0,451.0,63.0,13.0,9311.0,0.7042801556420234,0.14007782101167315,0.06614785992217899,0.08949416342412451
91,297.0,410.0,64.0,14.0,9382.0,0.7003367003367004,0.1414141414141414,0.07407407407407407,0.08417508417508418
92,200.0,407.0,64.0,14.0,9354.0,0.655,0.11,0.115,0.12
93,195.0,374.0,58.0,12.0,9406.0,0.693121693121693,0.1164021164021164,0.05291005291005291,0.13756613756613756
94,366.0,372.0,56.0,11.0,9406.0,0.6344086021505376,0.12365591397849462,0.056451612903225805,0.18548387096774194
95,331.0,387.0,58.0,8.0,9430.0,0.7401812688821753,0.16314199395770393,0.06948640483383686,0.027190332326283987
96,377.0,363.0,58.0,10.0,9350.0,0.7082228116710876,0.14588859416445624,0.09283819628647215,0.05305039787798409
97,382.0,357.0,57.0,9.0,9232.0,0.7486910994764397,0.12041884816753927,0.03926701570680628,0.09162303664921466
98,342.0,340.0,58.0,5.0,9239.0,0.663430420711974,0.14886731391585759,0.11003236245954691,0.07766990291262134
99,192.0,311.0,55.0,6.0,9197.0,0.6145833333333334,0.16145833333333334,0.11458333333333333,0.109375
100,421.0,329.0,65.0,7.0,8991.0,0.6220095693779905,0.15789473684210528,0.10047846889952154,0.1196172248803828
101,294.0,347.0,70.0,5.0,8066.0,0.6918032786885245,0.1377049180327869,0.10163934426229508,0.06885245901639345
102,310.0,345.0,70.0,7.0,6857.0,0.7281553398058253,0.13915857605177992,0.09385113268608414,0.038834951456310676
103,270.0,367.0,73.0,1.0,6430.0,0.7269372693726938,0.12915129151291513,0.08118081180811808,0.06273062730627306
104,283.0,351.0,77.0,7.0,6094.0,0.6219081272084805,0.13780918727915195,0.09540636042402827,0.14487632508833923
105,227.0,346.0,73.0,5.0,5913.0,0.7297297297297297,0.15765765765765766,0.04954954954954955,0.06306306306306306
106,346.0,358.0,73.0,3.0,5917.0,0.6239316239316239,0.13675213675213677,0.06837606837606838,0.17094017094017094
107,300.0,352.0,71.0,2.0,6038.0,0.6366666666666667,0.13,0.10333333333333333,0.13
108,336.0,366.0,69.0,1.0,6753.0,0.6309523809523809,0.19345238095238096,0.08630952380952381,0.08928571428571429
109,417.0,349.0,67.0,1.0,7621.0,0.672289156626506,0.11566265060240964,0.0746987951807229,0.13734939759036147
110,375.0,355.0,67.0,3.0,7990.0,0.6764705882352942,0.13368983957219252,0.11497326203208556,0.0748663101604278
111,377.0,352.0,70.0,1.0,8093.0,0.6763925729442971,0.11140583554376658,0.04774535809018567,0.16445623342175067
112,292.0,338.0,69.0,2.0,8277.0,0.7000000000000001,0.14482758620689656,0.06206896551724138,0.09310344827586207
113,259.0,352.0,72.0,4.0,8353.0,0.4728682170542636,0.06976744186046512,0.1317829457364341,0.3255813953488372
114,345.0,369.0,72.0,6.0,8462.0,0.6982758620689655,0.13218390804597702,0.07471264367816093,0.09482758620689655
115,367.0,356.0,73.0,3.0,8351.0,0.6219178082191781,0.12054794520547946,0.09315068493150686,0.1643835616438356
116,311.0,369.0,67.0,6.0,8340.0,0.7051282051282052,0.10897435897435898,0.05128205128205128,0.1346153846153846
117,451.0,390.0,67.0,6.0,8442.0,0.6119733924611973,0.10643015521064302,0.08869179600886919,0.19290465631929046
118,323.0,372.0,70.0,6.0,8570.0,0.6594427244582043,0.1238390092879257,0.10526315789473684,0.11145510835913312
119,457.0,383.0,75.0,3.0,8541.0,0.6441048034934498,0.11572052401746726,0.06550218340611354,0.17467248908296942
120,266.0,418.0,71.0,4.0,8591.0,0.7030075187969925,0.09774436090225563,0.05639097744360902,0.14285714285714285
121,259.0,418.0,73.0,8.0,8593.0,0.6395348837209303,0.12403100775193798,0.10852713178294573,0.12790697674418605
122,352.0,424.0,79.0,3.0,8839.0,0.6743515850144092,0.11239193083573486,0.11239193083573486,0.10086455331412103
123,378.0,433.0,77.0,8.0,9029.0,0.6746031746031746,0.10846560846560846,0.09259259259259259,0.12433862433862433
124,455.0,423.0,72.0,11.0,8946.0,0.621978021978022,0.10329670329670329,0.1054945054945055,0.16923076923076924
125,413.0,416.0,73.0,7.0,9193.0,0.6529126213592233,0.1262135922330097,0.08737864077669903,0.13349514563106796
126,328.0,431.0,73.0,9.0,9261.0,0.7064220183486238,0.09174311926605505,0.0764525993883792,0.1253822629969419
127,232.0,439.0,74.0,6.0,9228.0,0.6147186147186147,0.1471861471861472,0.09090909090909091,0.1471861471861472
128,287.0,435.0,76.0,9.0,9304.0,0.6585365853658537,0.11498257839721254,0.08710801393728224,0.13937282229965156
129,443.0,438.0,74.0,2.0,9375.0,0.6410835214446953,0.15349887133182843,0.06772009029345373,0.13769751693002258
130,418.0,414.0,73.0,13.0,9348.0,0.6267942583732058,0.14114832535885166,0.09330143540669857,0.13875598086124402
131,402.0,405.0,66.0,2.0,9435.0,0.7039800995024875,0.13930348258706468,0.07711442786069651,0.07960199004975124
132,342.0,391.0,68.0,8.0,9371.0,0.6950146627565982,0.13196480938416422,0.05571847507331378,0.11730205278592375
133,291.0,398.0,64.0,6.0,9330.0,0.6476868327402135,0.10320284697508897,0.1316725978647687,0.11743772241992884
134,306.0,404.0,63.0,2.0,9425.0,0.6568627450980392,0.14052287581699346,0.10457516339869281,0.09803921568627451
135,233.0,403.0,69.0,6.0,9576.0,0.6896551724137931,0.12931034482758622,0.09913793103448278,0.08189655172413794
136,375.0,410.0,68.0,8.0,9478.0,0.703804347826087,0.12771739130434784,0.06793478260869566,0.10054347826086957
137,339.0,404.0,72.0,3.0,9518.0,0.7062314540059348,0.11869436201780419,0.06231454005934719,0.11275964391691395
138,312.0,380.0,67.0,3.0,9543.0,0.7091503267973857,0.13398692810457516,0.06862745098039215,0.08823529411764706
139,313.0,387.0,65.0,2.0,9571.0,0.6485623003194888,0.13099041533546327,0.10223642172523961,0.1182108626198083
140,246.0,378.0,61.0,5.0,9659.0,0.6666666666666666,0.15040650406504066,0.08130081300813008,0.1016260162601626
141,135.0,393.0,61.0,2.0,9706.0,0.6222222222222222,0.11851851851851852,0.11851851851851852,0.14074074074074075
142,127.0,377.0,62.0,6.0,9606.0,0.6220472440944882,0.12598425196850394,0.11811023622047244,0.13385826771653545
143,252.0,380.0,59.0,5.0,9564.0,0.7171314741035857,0.09163346613545817,0.07569721115537849,0.11553784860557768
144,229.0,372.0,59.0,3.0,9572.0,0.6740088105726874,0.11453744493392072,0.0748898678414097,0.13656387665198239
145,313.0,368.0,52.0,7.0,9493.0,0.670926517571885,0.10862619808306709,0.09904153354632587,0.12140575079872204
146,263.0,360.0,50.0,4.0,9426.0,0.6996197718631179,0.11026615969581749,0.09885931558935361,0.09125475285171103
147,209.0,355.0,48.0,1.0,9318.0,0.6490384615384615,0.15384615384615385,0.07692307692307693,0.12019230769230768
148,135.0,369.0,45.0,2.0,9286.0,0.6814814814814815,0.13333333333333333,0.08888888888888889,0.0962962962962963
149,111.0,361.0,41.0,3.0,9261.0,0.5233644859813084,0.1308411214953271,0.1588785046728972,0.18691588785046728
150,203.0,360.0,43.0,3.0,9355.0,0.6965174129353233,0.1791044776119403,0.04975124378109453,0.07462686567164178
151,255.0,361.0,42.0,2.0,9256.0,0.6862745098039216,0.12156862745098039,0.08627450980392157,0.10588235294117647
